Crossover Probability (p),Empirical BER,P_e Lexicographic,P_e Anti-Lexicographic,P_e Coin-Flip
0.345,0.46391000,0.36278398,0.37851951,0.37326449
0.346,0.46845000,0.36389042,0.37959881,0.37433512
0.347,0.46424000,0.36499410,0.38067432,0.37540238
0.348,0.46529000,0.36609501,0.38174603,0.37646625
0.349,0.46763000,0.36719313,0.38281393,0.37752673
0.350,0.46662000,0.36828847,0.38387801,0.37858383
0.351,0.46951000,0.36938102,0.38493828,0.37963753
0.352,0.46728000,0.37047077,0.38599472,0.38068784
0.353,0.46837000,0.37155771,0.38704733,0.38173476
0.354,0.46809000,0.37264184,0.38809611,0.38277827
0.355,0.46632000,0.37372316,0.38914104,0.38381839
0.356,0.47197000,0.37480166,0.39018212,0.38485511
0.357,0.47160000,0.37587734,0.39121936,0.38588842
0.358,0.47240000,0.37695018,0.39225273,0.38691833
0.359,0.46608000,0.37802019,0.39328224,0.38794484
0.360,0.47599000,0.37908736,0.39430789,0.38896793
0.361,0.47417000,0.38015169,0.39532966,0.38998762
0.362,0.47567000,0.38121317,0.39634756,0.39100390
0.363,0.47358000,0.38227180,0.39736158,0.39201678
0.364,0.47471000,0.38332757,0.39837172,0.39302624
0.365,0.47505000,0.38438048,0.39937797,0.39403229
0.366,0.47168000,0.38543053,0.40038033,0.39503494
0.367,0.46984000,0.38647770,0.40137880,0.39603417
0.368,0.47534000,0.38752201,0.40237337,0.39703000
0.369,0.47880000,0.38856344,0.40336404,0.39802242
0.370,0.47681000,0.38960200,0.40435081,0.39901142
0.371,0.47228000,0.39063767,0.40533368,0.39999702
0.372,0.47720000,0.39167046,0.40631264,0.40097922
0.373,0.47919000,0.39270036,0.40728769,0.40195800
0.374,0.47866000,0.39372737,0.40825883,0.40293338
0.375,0.47665000,0.39475148,0.40922605,0.40390536
0.376,0.48020000,0.39577270,0.41018936,0.40487394
0.377,0.47755000,0.39679103,0.41114876,0.40583911
0.378,0.47938000,0.39780645,0.41210424,0.40680088
0.379,0.48004000,0.39881897,0.41305580,0.40775926
0.380,0.48003000,0.39982858,0.41400344,0.40871423
0.381,0.47840000,0.40083529,0.41494715,0.40966582
0.382,0.48155000,0.40183908,0.41588695,0.41061401
0.383,0.48496000,0.40283997,0.41682282,0.41155881
0.384,0.48035000,0.40383794,0.41775477,0.41250023
0.385,0.48347000,0.40483300,0.41868280,0.41343825
0.386,0.48343000,0.40582514,0.41960690,0.41437290
0.387,0.48762000,0.40681436,0.42052708,0.41530416
0.388,0.47960000,0.40780067,0.42144333,0.41623205
0.389,0.48147000,0.40878405,0.42235567,0.41715656
0.390,0.48223000,0.40976451,0.42326407,0.41807771
0.391,0.48332000,0.41074206,0.42416856,0.41899548
0.392,0.48570000,0.41171667,0.42506912,0.41990989
0.393,0.48329000,0.41268837,0.42596576,0.42082093
0.394,0.48438000,0.41365713,0.42685849,0.42172862
0.395,0.48709000,0.41462298,0.42774729,0.42263295
0.396,0.48635000,0.41558589,0.42863217,0.42353393
0.397,0.48387000,0.41654588,0.42951314,0.42443156
0.398,0.48562000,0.41750294,0.43039019,0.42532585
0.399,0.48369000,0.41845708,0.43126332,0.42621680
0.400,0.48705000,0.41940828,0.43213254,0.42710441
0.401,0.48438000,0.42035656,0.43299786,0.42798869
0.402,0.48788000,0.42130191,0.43385926,0.42886964
0.403,0.48544000,0.42224434,0.43471675,0.42974727
0.404,0.48766000,0.42318383,0.43557035,0.43062158
0.405,0.48854000,0.42412040,0.43642003,0.43149257
0.406,0.49183000,0.42505404,0.43726582,0.43236026
0.407,0.48903000,0.42598475,0.43810771,0.43322464
0.408,0.48805000,0.42691254,0.43894570,0.43408571
0.409,0.48951000,0.42783740,0.43977981,0.43494350
0.410,0.48919000,0.42875933,0.44061002,0.43579799
0.411,0.48799000,0.42967834,0.44143634,0.43664919
0.412,0.49107000,0.43059443,0.44225878,0.43749711
0.413,0.48677000,0.43150759,0.44307734,0.43834176
0.414,0.49028000,0.43241783,0.44389202,0.43918314
0.415,0.48792000,0.43332515,0.44470283,0.44002125
0.416,0.49047000,0.43422955,0.44550976,0.44085610
0.417,0.49116000,0.43513103,0.44631283,0.44168769
0.418,0.49049000,0.43602959,0.44711204,0.44251604
0.419,0.49203000,0.43692523,0.44790738,0.44334114
0.420,0.49494000,0.43781796,0.44869887,0.44416300
0.421,0.49167000,0.43870777,0.44948651,0.44498163
0.422,0.48961000,0.43959467,0.45027029,0.44579703
0.423,0.49196000,0.44047866,0.45105023,0.44660921
0.424,0.49274000,0.44135974,0.45182634,0.44741817
0.425,0.49317000,0.44223791,0.45259860,0.44822393
0.426,0.49021000,0.44311318,0.45336704,0.44902648
0.427,0.49334000,0.44398554,0.45413164,0.44982584
0.428,0.49747000,0.44485500,0.45489243,0.45062200
0.429,0.49491000,0.44572155,0.45564940,0.45141498
0.430,0.49387000,0.44658521,0.45640255,0.45220477
0.431,0.49422000,0.44744597,0.45715189,0.45299140
0.432,0.49261000,0.44830383,0.45789743,0.45377486
0.433,0.49596000,0.44915880,0.45863918,0.45455515
0.434,0.49409000,0.45001088,0.45937712,0.45533230
0.435,0.49345000,0.45086008,0.46011128,0.45610629
0.436,0.49479000,0.45170638,0.46084166,0.45687715
0.437,0.49495000,0.45254980,0.46156826,0.45764487
0.438,0.49574000,0.45339034,0.46229108,0.45840946
0.439,0.49551000,0.45422800,0.46301014,0.45917093
0.440,0.49494000,0.45506278,0.46372544,0.45992929
0.441,0.49489000,0.45589469,0.46443698,0.46068453
0.442,0.49597000,0.45672373,0.46514476,0.46143668
0.443,0.49507000,0.45754989,0.46584881,0.46218573
0.444,0.49847000,0.45837319,0.46654911,0.46293170
0.445,0.49369000,0.45919363,0.46724568,0.46367458
0.446,0.49511000,0.46001120,0.46793852,0.46441439
0.447,0.49704000,0.46082592,0.46862764,0.46515113
0.448,0.49868000,0.46163778,0.46931304,0.46588481
0.449,0.49588000,0.46244678,0.46999474,0.46661544
0.450,0.49615000,0.46325294,0.47067273,0.46734303
0.451,0.49904000,0.46405625,0.47134702,0.46806757
0.452,0.49640000,0.46485671,0.47201762,0.46878908
0.453,0.49632000,0.46565434,0.47268454,0.46950757
0.454,0.49517000,0.46644912,0.47334778,0.47022304
0.455,0.49493000,0.46724107,0.47400734,0.47093550
0.456,0.49699000,0.46803019,0.47466324,0.47164495
0.457,0.49584000,0.46881648,0.47531548,0.47235141
0.458,0.50005000,0.46959994,0.47596407,0.47305488
0.459,0.49725000,0.47038058,0.47660901,0.47375537
0.460,0.49770000,0.47115840,0.47725032,0.47445289
0.461,0.49669000,0.47193341,0.47788799,0.47514743
0.462,0.49966000,0.47270560,0.47852203,0.47583902
0.463,0.49759000,0.47347499,0.47915246,0.47652766
0.464,0.49878000,0.47424156,0.47977927,0.47721335
0.465,0.49838000,0.47500534,0.48040248,0.47789610
0.466,0.49994000,0.47576632,0.48102209,0.47857592
0.467,0.49916000,0.47652450,0.48163811,0.47925282
0.468,0.49609000,0.47727988,0.48225054,0.47992681
0.469,0.49933000,0.47803248,0.48285940,0.48059789
0.470,0.49793000,0.47878230,0.48346468,0.48126606
0.471,0.50066000,0.47952933,0.48406641,0.48193135
0.472,0.49985000,0.48027358,0.48466457,0.48259374
0.473,0.50086000,0.48101507,0.48525919,0.48325326
0.474,0.50027000,0.48175377,0.48585027,0.48390991
0.475,0.49975000,0.48248972,0.48643782,0.48456370
0.476,0.49888000,0.48322290,0.48702184,0.48521463
0.477,0.49594000,0.48395332,0.48760233,0.48586272
0.478,0.49946000,0.48468098,0.48817932,0.48650796
0.479,0.49891000,0.48540589,0.48875281,0.48715037
0.480,0.50278000,0.48612805,0.48932279,0.48778995
0.481,0.50014000,0.48684747,0.48988929,0.48842672
0.482,0.49922000,0.48756414,0.49045230,0.48906068
0.483,0.50311000,0.48827808,0.49101185,0.48969183
0.484,0.50011000,0.48898929,0.49156792,0.49032019
0.485,0.50059000,0.48969776,0.49212054,0.49094577
0.486,0.49759000,0.49040352,0.49266970,0.49156856
0.487,0.50057000,0.49110654,0.49321543,0.49218858
0.488,0.50227000,0.49180685,0.49375771,0.49280583
0.489,0.49799000,0.49250445,0.49429657,0.49342033
0.490,0.50307000,0.49319934,0.49483201,0.49403208
